"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"268","National","National",2007,46,1.61958,1.66653,3563,NA,1780,3290,NA,471,9104,1516,546284,NA
"269","National","National",2007,47,1.8112,1.97488,3651,NA,1812,2631,NA,476,8570,1523,433951,NA
"270","National","National",2007,48,1.61865,1.67305,3679,NA,1921,3158,NA,413,9171,1513,548159,NA
"271","National","National",2007,49,1.62124,1.63405,3365,NA,1772,2907,NA,392,8436,1487,516263,NA
"272","National","National",2007,50,1.67351,1.74595,3298,NA,1697,2694,NA,402,8091,1453,463416,NA
"273","National","National",2007,51,1.95096,1.93643,3580,NA,1987,2724,NA,459,8750,1420,451862,NA
"274","National","National",2007,52,2.50019,2.48905,3848,NA,2184,2348,NA,522,8902,1426,357646,NA
"275","National","National",2008,1,2.43939,2.25405,3737,NA,2731,2568,NA,670,9706,1486,430603,NA
"276","National","National",2008,2,2.29319,2.09147,3393,NA,3262,3644,NA,816,11115,1509,531444,NA
"277","National","National",2008,3,2.62907,2.35934,3664,NA,3038,4900,NA,595,12197,1511,516966,NA
"278","National","National",2008,4,3.92966,3.32331,4289,NA,4499,7661,NA,722,17171,1508,516683,NA
"279","National","National",2008,5,4.99202,4.43381,5222,NA,6595,11974,NA,1021,24812,1514,559609,NA
